Mauricio Macri  Masculino
Marcos Pena  Masculino
Rogelio frigerio  Masculino
Susana Malcorra  Femenino
Alfonso PratGay  Masculino
Nicolas Dujovne  Masculino
Luis Caputo  Masculino
Francisco Cabrera  Masculino
Patricia Bullrich  Femenino
German Garavano  Masculino
Jorge Triaca  Masculino
Carolina Stanley  Femenino
Pablo Avelluto  Masculino
Esteban Bullrich  Masculino
Laura Alonso  Femenino
Gabriela Michetti  Femenino
Maru Vidal  Femenino
Juan Jose Aranguren  Masculino
Sergio Bergman  Masculino
Lilita Carrio  Femenino
